"sepal.length","sepal.width","petal.length","petal.width","variety"
5.1,3.5,14,.2,"Setosa"
4.9,3,14,.2,"Setosa"
4.7,3.2,13,.2,"Setosa"
4.6,3.1,15,.2,"Setosa"
5,3.6,14,.2,"Setosa"
5.4,3.9,17,.4,"Setosa"
4.6,3.4,14,.3,"Setosa"
5,3.4,15,.2,"Setosa"
4.4,2.9,14,.2,"Setosa"
4.9,3.1,15,.1,"Setosa"
5.4,3.7,15,.2,"Setosa"
4.8,3.4,16,.2,"Setosa"
4.8,3,14,.1,"Setosa"
4.3,3,11,.1,"Setosa"
5.8,4,12,.2,"Setosa"
5.7,4.4,15,.4,"Setosa"
5.4,3.9,13,.4,"Setosa"
5.1,3.5,14,.3,"Setosa"
5.7,3.8,17,.3,"Setosa"
5.1,3.8,15,.3,"Setosa"
5.4,3.4,17,.2,"Setosa"
5.1,3.7,15,.4,"Setosa"
4.6,3.6,10,.2,"Setosa"
5.1,3.3,17,.5,"Setosa"
4.8,3.4,19,.2,"Setosa"
5,3,16,.2,"Setosa"
5,3.4,16,.4,"Setosa"
5.2,3.5,15,.2,"Setosa"
5.2,3.4,14,.2,"Setosa"
4.7,3.2,16,.2,"Setosa"
4.8,3.1,16,.2,"Setosa"
5.4,3.4,15,.4,"Setosa"
5.2,4.1,15,.1,"Setosa"
5.5,4.2,14,.2,"Setosa"
4.9,3.1,15,.2,"Setosa"
5,3.2,12,.2,"Setosa"
5.5,3.5,13,.2,"Setosa"
4.9,3.6,14,.1,"Setosa"
4.4,3,13,.2,"Setosa"
5.1,3.4,15,.2,"Setosa"
5,3.5,13,.3,"Setosa"
4.5,2.3,13,.3,"Setosa"
4.4,3.2,13,.2,"Setosa"
5,3.5,16,.6,"Setosa"
5.1,3.8,19,.4,"Setosa"
4.8,3,14,.3,"Setosa"
5.1,3.8,16,.2,"Setosa"
4.6,3.2,14,.2,"Setosa"
5.3,3.7,15,.2,"Setosa"
5,3.3,14,.2,"Setosa"
7,3.2,47,1.4,"Versicolor"
6.4,3.2,45,1.5,"Versicolor"
6.9,3.1,49,1.5,"Versicolor"
5.5,2.3,40,1.3,"Versicolor"
6.5,2.8,46,1.5,"Versicolor"
5.7,2.8,45,1.3,"Versicolor"
6.3,3.3,47,1.6,"Versicolor"
4.9,2.4,33,1,"Versicolor"
6.6,2.9,46,1.3,"Versicolor"
5.2,2.7,39,1.4,"Versicolor"
5,2,35,1,"Versicolor"
5.9,3,42,1.5,"Versicolor"
6,2.2,40,1,"Versicolor"
6.1,2.9,47,1.4,"Versicolor"
5.6,2.9,36,1.3,"Versicolor"
6.7,3.1,44,1.4,"Versicolor"
5.6,3,45,1.5,"Versicolor"
5.8,2.7,41,1,"Versicolor"
6.2,2.2,45,1.5,"Versicolor"
5.6,2.5,39,1.1,"Versicolor"
5.9,3.2,48,1.8,"Versicolor"
6.1,2.8,40,1.3,"Versicolor"
6.3,2.5,49,1.5,"Versicolor"
6.1,2.8,47,1.2,"Versicolor"
6.4,2.9,43,1.3,"Versicolor"
6.6,3,44,1.4,"Versicolor"
6.8,2.8,48,1.4,"Versicolor"
6.7,3,50,1.7,"Versicolor"
6,2.9,45,1.5,"Versicolor"
5.7,2.6,35,1,"Versicolor"
5.5,2.4,38,1.1,"Versicolor"
5.5,2.4,37,1,"Versicolor"
5.8,2.7,39,1.2,"Versicolor"
6,2.7,51,1.6,"Versicolor"
5.4,3,45,1.5,"Versicolor"
6,3.4,45,1.6,"Versicolor"
6.7,3.1,47,1.5,"Versicolor"
6.3,2.3,44,1.3,"Versicolor"
5.6,3,41,1.3,"Versicolor"
5.5,2.5,40,1.3,"Versicolor"
